1,0.828,0.0000828308
2,0.828,0.0000828255
3,0.828,0.0000828262
4,0.828,0.0000828232
5,0.840,0.0000840065
4,0.809,0.0000809120
2,0.817,0.0000817383
5,0.817,0.0000816505
2,0.817,0.0000816948
4,0.816,0.0000815735
1,0.816,0.0000816383
5,0.816,0.0000816269
3,0.816,0.0000815804
4,0.816,0.0000815887
5,0.818,0.0000817566
3,0.818,0.0000817566
1,0.818,0.0000817802
3,0.818,0.0000818001
2,0.818,0.0000818214
3,0.819,0.0000819138
1,0.828,0.0000827515
1,0.826,0.0000825775
2,0.827,0.0000827263
4,0.829,0.0000828621
5,0.827,0.0000827454
