1,0.998,0.0000998077
4,1.006,0.0001005844
3,1.011,0.0001011429
5,1.012,0.0001011635
2,1.013,0.0001012528
4,1.084,0.0001084122
2,1.084,0.0001084015
3,1.084,0.0001084213
1,1.085,0.0001084770
5,1.085,0.0001084549
4,1.081,0.0001080811
5,1.086,0.0001086227
2,1.086,0.0001086433
1,1.087,0.0001086563
2,1.081,0.0001080528
4,1.086,0.0001086296
3,1.087,0.0001086807
3,1.081,0.0001081055
3,1.091,0.0001090935
2,1.091,0.0001091049
4,1.090,0.0001090439
1,1.091,0.0001091164
5,1.091,0.0001090805
1,1.091,0.0001091103
5,1.091,0.0001090935
