1,0.982,0.0000981720
2,0.983,0.0000982544
4,0.982,0.0000982483
5,0.988,0.0000988228
3,0.991,0.0000990913
3,1.011,0.0001010811
4,1.005,0.0001005165
2,1.010,0.0001010345
2,1.011,0.0001010925
4,1.011,0.0001011208
1,1.005,0.0001005173
3,1.012,0.0001011711
5,1.011,0.0001011360
1,1.011,0.0001011085
1,1.012,0.0001012215
5,1.011,0.0001010979
1,1.011,0.0001010818
3,1.011,0.0001010689
2,1.012,0.0001012360
5,1.011,0.0001010735
3,1.015,0.0001015167
5,1.015,0.0001014992
4,1.020,0.0001020416
2,1.015,0.0001015167
4,1.021,0.0001021111
