3,0.103,0.0001028538
2,0.103,0.0001030283
4,0.103,0.0001029901
5,0.103,0.0001029758
1,0.103,0.0001032991
3,0.110,0.0001099157
4,0.110,0.0001098328
1,0.110,0.0001101313
2,0.112,0.0001120644
5,0.111,0.0001110229
2,0.111,0.0001107616
3,0.111,0.0001107569
2,0.110,0.0001100121
1,0.110,0.0001102018
5,0.110,0.0001101398
1,0.111,0.0001112471
3,0.111,0.0001107073
4,0.111,0.0001114130
2,0.111,0.0001108084
1,0.112,0.0001116810
5,0.111,0.0001109962
4,0.111,0.0001109152
3,0.112,0.0001117964
4,0.111,0.0001113453
5,0.111,0.0001108828
