1,0.010,0.0001049101
5,0.010,0.0001018500
4,0.010,0.0001038301
3,0.010,0.0001045895
2,0.011,0.0001052201
2,0.011,0.0001058698
5,0.010,0.0000991702
3,0.011,0.0001093304
5,0.010,0.0001022196
4,0.010,0.0000957000
1,0.011,0.0001126003
3,0.010,0.0000990200
4,0.010,0.0001002395
1,0.010,0.0001020098
5,0.010,0.0000988603
4,0.010,0.0001043105
1,0.010,0.0001034200
5,0.010,0.0001049304
4,0.010,0.0001013601
2,0.010,0.0001015198
3,0.010,0.0001043904
1,0.010,0.0001019394
2,0.011,0.0001057005
3,0.011,0.0001058197
2,0.011,0.0001081598
