2,0.101,0.0001009674
5,0.102,0.0001021624
3,0.102,0.0001022940
1,0.103,0.0001033382
4,0.103,0.0001031656
2,0.101,0.0001014757
4,0.101,0.0001014748
5,0.102,0.0001016197
1,0.103,0.0001026754
3,0.103,0.0001028519
4,0.104,0.0001040478
3,0.103,0.0001031561
1,0.104,0.0001042643
5,0.103,0.0001033812
1,0.104,0.0001036034
1,0.103,0.0001032782
4,0.104,0.0001036406
2,0.104,0.0001043377
5,0.103,0.0001029520
2,0.105,0.0001045723
3,0.104,0.0001044483
5,0.104,0.0001037903
3,0.104,0.0001039410
4,0.104,0.0001038694
2,0.104,0.0001035910
